bowler,total_balls,total_overs,total_runs,total_wickets,overall_economy,dot_ball_pct,inn1_balls,inn1_overs,inn1_runs,inn1_wickets,inn1_economy,inn2_balls,inn2_overs,inn2_runs,inn2_wickets,inn2_economy,powerplay_balls,powerplay_overs,powerplay_runs,powerplay_wickets,powerplay_economy,powerplay_dot_ball_pct,middle_balls,middle_overs,middle_runs,middle_wickets,middle_economy,middle_dot_ball_pct,death_balls,death_overs,death_runs,death_wickets,death_economy,death_dot_ball_pct,wickets_in_wins,wickets_in_losses,wickets_in_close_matches,runs_in_close_matches,inn1_powerplay_balls,inn1_powerplay_overs,inn1_powerplay_runs,inn1_powerplay_wickets,inn1_powerplay_economy,inn1_middle_balls,inn1_middle_overs,inn1_middle_runs,inn1_middle_wickets,inn1_middle_economy,inn1_death_balls,inn1_death_overs,inn1_death_runs,inn1_death_wickets,inn1_death_economy,inn2_powerplay_balls,inn2_powerplay_overs,inn2_powerplay_runs,inn2_powerplay_wickets,inn2_powerplay_economy,inn2_middle_balls,inn2_middle_overs,inn2_middle_runs,inn2_middle_wickets,inn2_middle_economy,inn2_death_balls,inn2_death_overs,inn2_death_runs,inn2_death_wickets,inn2_death_economy
K Gowtham,233,38.833333333333336,333,9,8.575107296137338,32.61802575107296,120,20.0,177,5,8.85,113,18.833333333333332,156,4,8.283185840707965,68,11.333333333333334,120,2,10.588235294117647,38.23529411764706,147,24.5,168,7,6.857142857142857,31.292517006802722,18,3.0,45,0,15.0,22.22222222222222,4,5,7,247,24,4.0,49,0,12.25,84,14.0,87,5,6.214285714285714,12,2.0,41,0,20.5,44,7.333333333333333,71,2,9.681818181818182,63,10.5,81,2,7.714285714285714,6,1.0,4,0,4.0
V Shankar,166,27.666666666666668,197,9,7.120481927710843,28.915662650602407,125,20.833333333333332,149,7,7.152,41,6.833333333333333,48,2,7.024390243902439,11,1.8333333333333333,14,0,7.636363636363637,27.27272727272727,126,21.0,146,7,6.9523809523809526,30.158730158730158,29,4.833333333333333,37,2,7.655172413793104,24.137931034482758,5,4,7,143,11,1.8333333333333333,14,0,7.636363636363637,88,14.666666666666666,99,5,6.75,26,4.333333333333333,36,2,8.307692307692308,0,0.0,0,0,0.0,38,6.333333333333333,47,2,7.421052631578948,3,0.5,1,0,2.0
Akash Singh,208,34.666666666666664,326,9,9.403846153846155,30.76923076923077,103,17.166666666666668,158,5,9.20388349514563,105,17.5,168,4,9.6,147,24.5,223,6,9.10204081632653,39.455782312925166,49,8.166666666666666,76,2,9.306122448979593,12.244897959183673,12,2.0,27,1,13.5,0.0,4,5,5,206,72,12.0,101,3,8.416666666666666,19,3.1666666666666665,30,1,9.473684210526317,12,2.0,27,1,13.5,75,12.5,122,3,9.76,30,5.0,46,1,9.2,0,0.0,0,0,0.0
N Thushara,198,33.0,289,9,8.757575757575758,24.747474747474747,154,25.666666666666668,231,8,9.0,44,7.333333333333333,58,1,7.909090909090909,104,17.333333333333332,149,7,8.596153846153847,31.73076923076923,20,3.3333333333333335,33,0,9.9,20.0,74,12.333333333333334,107,2,8.675675675675675,16.216216216216218,1,8,2,187,73,12.166666666666666,102,6,8.383561643835616,20,3.3333333333333335,33,0,9.9,61,10.166666666666666,96,2,9.442622950819672,31,5.166666666666667,47,1,9.096774193548386,0,0.0,0,0,0.0,13,2.1666666666666665,11,0,5.0769230769230775
WD Parnell,157,26.166666666666668,237,9,9.05732484076433,29.29936305732484,48,8.0,83,1,10.375,109,18.166666666666668,154,8,8.477064220183486,104,17.333333333333332,142,6,8.192307692307693,37.5,24,4.0,47,1,11.75,12.5,29,4.833333333333333,48,2,9.931034482758621,13.793103448275861,5,4,4,166,30,5.0,55,0,11.0,6,1.0,7,0,7.0,12,2.0,21,1,10.5,74,12.333333333333334,87,6,7.0540540540540535,18,3.0,40,1,13.333333333333334,17,2.8333333333333335,27,1,9.529411764705882
J Suchith,157,26.166666666666668,207,8,7.910828025477707,32.48407643312102,113,18.833333333333332,123,7,6.5309734513274345,44,7.333333333333333,84,1,11.454545454545455,26,4.333333333333333,30,1,6.923076923076923,38.46153846153847,125,20.833333333333332,160,6,7.680000000000001,32.0,6,1.0,17,1,17.0,16.666666666666664,5,3,6,177,20,3.3333333333333335,15,1,4.5,87,14.5,91,5,6.275862068965517,6,1.0,17,1,17.0,6,1.0,15,0,15.0,38,6.333333333333333,69,1,10.894736842105264,0,0.0,0,0,0.0
Zeeshan Ansari,209,34.833333333333336,334,8,9.588516746411482,19.138755980861244,118,19.666666666666668,188,4,9.559322033898304,91,15.166666666666666,146,4,9.626373626373626,0,0.0,0,0,0.0,0.0,184,30.666666666666668,284,8,9.26086956521739,19.021739130434785,25,4.166666666666667,50,0,12.0,20.0,0,8,4,237,0,0.0,0,0,0.0,104,17.333333333333332,162,4,9.346153846153847,14,2.3333333333333335,26,0,11.142857142857142,0,0.0,0,0,0.0,80,13.333333333333334,122,4,9.15,11,1.8333333333333333,24,0,13.090909090909092
Yudhvir Singh,145,24.166666666666668,257,8,10.634482758620688,31.724137931034484,99,16.5,190,6,11.515151515151516,46,7.666666666666667,67,2,8.739130434782608,88,14.666666666666666,148,6,10.090909090909092,38.63636363636363,39,6.5,73,1,11.23076923076923,25.64102564102564,18,3.0,36,1,12.0,11.11111111111111,4,4,7,185,51,8.5,96,4,11.294117647058824,30,5.0,58,1,11.6,18,3.0,36,1,12.0,37,6.166666666666667,52,2,8.432432432432432,9,1.5,15,0,10.0,0,0.0,0,0,0.0
I Udana,182,30.333333333333332,286,8,9.428571428571429,20.32967032967033,76,12.666666666666666,133,3,10.5,106,17.666666666666668,153,5,8.660377358490566,57,9.5,104,2,10.947368421052632,24.561403508771928,62,10.333333333333334,87,3,8.419354838709676,22.58064516129032,63,10.5,95,3,9.047619047619047,14.285714285714285,4,4,5,194,26,4.333333333333333,55,1,12.692307692307693,18,3.0,24,1,8.0,32,5.333333333333333,54,1,10.125,31,5.166666666666667,49,1,9.483870967741934,44,7.333333333333333,63,2,8.590909090909092,31,5.166666666666667,41,2,7.935483870967741
WG Jacks,145,24.166666666666668,221,8,9.144827586206896,23.448275862068964,51,8.5,60,2,7.0588235294117645,94,15.666666666666666,161,6,10.27659574468085,37,6.166666666666667,60,2,9.72972972972973,27.027027027027028,101,16.833333333333332,149,6,8.851485148514852,22.772277227722775,7,1.1666666666666667,12,0,10.285714285714285,14.285714285714285,6,2,4,111,18,3.0,21,0,7.0,33,5.5,39,2,7.090909090909091,0,0.0,0,0,0.0,19,3.1666666666666665,39,2,12.31578947368421,68,11.333333333333334,110,4,9.705882352941176,7,1.1666666666666667,12,0,10.285714285714285
