POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
"1","Harshal Patel","PBKS","24","14","14","49.0","477","'15/3","19.87","9.73","12.25","0","0"
"2","Varun Chakaravarthy","KKR","21","15","14","50.0","402","'16/3","19.14","8.04","14.28","0","0"
"3","Jasprit Bumrah","MI","20","13","13","51.5","336","'21/5","16.80","6.48","15.55","0","1"
"4","T Natarajan","SRH","19","14","14","51.2","465","'19/4","24.47","9.05","16.21","1","0"
"5","Harshit Rana","KKR","19","13","11","42.1","383","'24/3","20.15","9.08","13.31","0","0"
"6","Avesh Khan","RR","19","16","15","54.5","526","'27/3","27.68","9.59","17.31","0","0"
"7","Arshdeep Singh","PBKS","19","14","14","50.2","505","'29/4","26.57","10.03","15.89","1","0"
"8","Andre Russell","KKR","19","15","14","29.2","295","'19/3","15.52","10.05","9.26","0","0"
"9","Pat Cummins","SRH","18","16","16","61.0","566","'43/3","31.44","9.27","20.33","0","0"
"10","Yuzvendra Chahal","RR","18","15","15","58.0","546","'11/3","30.33","9.41","19.33","0","0"
"11","Sunil Narine","KKR","17","15","14","55.0","368","'22/2","21.64","6.69","19.41","0","0"
"12","Tushar Deshpande","CSK","17","13","13","48.0","424","'27/4","24.94","8.83","16.94","1","0"
"13","Khaleel Ahmed","DC","17","14","14","50.0","479","'21/2","28.17","9.58","17.64","0","0"
"14","Mukesh Kumar","DC","17","10","10","35.3","368","'14/3","21.64","10.36","12.52","0","0"
"15","Mitchell Starc","KKR","17","14","13","41.5","444","'33/4","26.11","10.61","14.76","1","0"
"16","Trent Boult","RR","16","16","15","53.2","443","'22/3","27.68","8.30","20.00","0","0"
"17","Kuldeep Yadav","DC","16","11","11","43.0","374","'55/4","23.37","8.69","16.12","1","0"
"18","Sam Curran","PBKS","16","13","13","41.0","416","'28/3","26.00","10.14","15.37","0","0"
"19","Yash Dayal","RCB","15","14","14","50.1","459","'20/3","30.60","9.14","20.06","0","0"
"20","Mohammed Siraj","RCB","15","14","14","54.0","496","'43/3","33.06","9.18","21.60","0","0"
"21","Mustafizur Rahman","CSK","14","9","9","34.2","318","'29/4","22.71","9.26","14.71","1","0"
"22","Naveen-Ul-Haq","LSG","14","10","10","36.3","372","'49/3","26.57","10.19","15.64","0","0"
"23","Matheesha Pathirana","CSK","13","6","6","22.0","169","'28/4","13.00","7.68","10.15","1","0"
"24","Sandeep Sharma","RR","13","11","10","38.0","311","'18/5","23.92","8.18","17.53","0","1"
"25","Piyush Chawla","MI","13","11","11","35.0","312","'29/3","24.00","8.91","16.15","0","0"
"26","Gerald Coetzee","MI","13","10","10","33.3","341","'34/4","26.23","10.17","15.46","1","0"
"27","Mohit Sharma","GT","13","12","11","39.0","425","'25/3","32.69","10.89","18.00","0","0"
"28","Axar Patel","DC","11","14","14","44.0","337","'25/2","30.63","7.65","24.00","0","0"
"29","Kagiso Rabada","PBKS","11","11","11","42.0","372","'18/2","33.81","8.85","22.90","0","0"
"30","Vaibhav Arora","KKR","11","10","10","30.0","276","'27/3","25.09","9.20","16.36","0","0"
"31","Bhuvneshwar Kumar","SRH","11","16","16","57.0","533","'41/3","48.45","9.35","31.09","0","0"
"32","Hardik Pandya","MI","11","14","12","36.0","387","'31/3","35.18","10.75","19.63","0","0"
"33","Yash Thakur","LSG","11","10","10","35.3","402","'30/5","36.54","11.32","19.36","0","1"
