player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"Akshat R Pandey","RLYS","2025-2025","7","5","0","140","60","28.00","112","125.00","0","1","0","14","6"
"Nihar Deka","ASSAM","2025-2025","7","7","1","139","52","23.16","101","137.62","0","1","0","9","5"
"A Swain","ODSA","2025-2025","4","4","2","138","51*","69.00","105","131.42","0","1","0","7","7"
"Vishnu Vinod","KER","2025-2025","5","4","2","137","65","68.50","99","138.38","0","1","0","5","8"
"MA Agarwal","KNTKA","2025-2025","7","7","0","135","37","19.28","111","121.62","0","0","0","13","3"
"SKS Baral","ODSA","2025-2025","6","5","0","135","46","27.00","118","114.40","0","0","0","13","2"
"S Gani","BIHAR","2025-2025","7","6","0","134","60","22.33","106","126.41","0","1","0","16","3"
"Qamran Iqbal","J + K","2025-2025","6","6","0","134","64","22.33","119","112.60","0","1","0","14","5"
"Kartik Sharma","RAJ","2025-2025","5","5","0","133","46","26.60","83","160.24","0","0","0","7","11"
"CD Bist","NAGA","2025-2025","5","5","2","133","36*","44.33","95","140.00","0","0","0","10","4"
"LSM Keishangbam","MNPR","2025-2025","5","5","1","133","56*","33.25","96","138.54","0","1","0","10","3"
"AA Loharuka","BIHAR","2025-2025","7","7","1","132","36","22.00","112","117.85","0","0","1","10","5"
"PPK Saikia","ASSAM","2025-2025","5","5","1","130","44","32.50","127","102.36","0","0","0","14","2"
"V Shankar","TPURA","2025-2025","7","7","0","129","59","18.42","121","106.61","0","1","1","13","2"
"KU Bakhale","GOA","2025-2025","3","3","0","126","64","42.00","98","128.57","0","2","0","13","2"
"SJ Desai","CGR","2025-2025","5","5","0","126","36","25.20","106","118.86","0","0","0","12","5"
"N Johnson Singh","MNPR","2025-2025","5","5","1","126","75*","31.50","117","107.69","0","1","1","12","1"
"AS Bhatewara","MEGHA","2025-2025","5","5","0","125","63","25.00","101","123.76","0","1","0","14","4"
"Abdul Samad","J + K","2025-2025","7","7","0","124","27","17.71","93","133.33","0","0","0","7","7"
"M Hemanth Reddy","AP","2025-2025","2","2","1","122","109*","122.00","60","203.33","1","0","0","12","8"
"AU Verma","MP","2025-2025","10","9","1","120","34","15.00","73","164.38","0","0","0","3","10"
"G Kochar","SVCS","2025-2025","5","5","0","120","60","24.00","86","139.53","0","1","1","13","5"
"Y Chaudhary","UKHND","2025-2025","7","7","0","120","74","17.14","98","122.44","0","1","2","10","5"
"Harnoor Singh","PNJB","2025-2025","3","3","0","119","64","39.66","74","160.81","0","1","0","12","4"
"VP Amit Sathvik","TN","2025-2025","5","5","0","119","54","23.80","86","138.37","0","1","0","17","3"
"AR Sharma","RLYS","2025-2025","6","6","0","117","61","19.50","69","169.56","0","1","1","12","6"
"P Avinash","AP","2025-2025","8","7","0","117","44","16.71","101","115.84","0","0","1","8","7"
"Piyush K Singh","BIHAR","2025-2025","4","4","0","115","57","28.75","114","100.87","0","1","0","9","1"
"AH Pasi","BRODA","2025-2025","1","1","0","114","114","114.00","55","207.27","1","0","0","10","9"
"T Dahiya","DELHI","2025-2025","6","4","2","113","53*","56.50","67","168.65","0","1","0","5","8"
"RM Patidar","MP","2025-2025","8","7","0","113","43","16.14","83","136.14","0","0","1","10","4"
"M Kaushik","UP","2025-2025","4","4","0","113","67","28.25","84","134.52","0","1","1","12","3"
"BJ Pania","BRODA","2025-2025","7","5","4","112","53*","112.00","62","180.64","0","1","0","6","8"
"PR Veer","UP","2025-2025","7","6","3","112","40*","37.33","66","169.69","0","0","0","11","6"
"Ravi Chauhan","SVCS","2025-2025","3","3","0","110","51","36.66","55","200.00","0","1","0","17","3"
"SK Rasheed","AP","2025-2025","8","8","2","110","59*","18.33","96","114.58","0","1","1","9","3"
"AB Raj","BIHAR","2025-2025","5","5","0","110","40","22.00","115","95.65","0","0","0","11","1"
"CA Karthik","MIZO","2025-2025","6","6","0","109","64","18.16","79","137.97","0","1","0","12","4"
"NS Virk","RLYS","2025-2025","6","6","0","109","32","18.16","89","122.47","0","0","0","7","5"
"Bharat Sharma","RAJ","2025-2025","6","6","0","107","38","17.83","89","120.22","0","0","0","10","6"
"SR Lenka","ODSA","2025-2025","5","4","1","106","75*","35.33","62","170.96","0","1","0","9","6"
