player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"GM Choudhury","ODSA","2024-2024","5","5","1","154","74","38.50","89","173.03","0","1","0","9","12"
"DW Misal","GOA","2024-2024","6","5","0","153","91","30.60","86","177.90","0","1","0","14","9"
"S Dube","MUM","2024-2024","5","5","3","151","71*","75.50","84","179.76","0","1","0","8","11"
"VP Solanki","BRODA","2024-2024","9","8","4","151","50","37.75","93","162.36","0","1","0","10","9"
"S Gajjar","SAU","2024-2024","8","8","1","151","55*","21.57","114","132.45","0","1","1","15","6"
"MK Lomror","RAJ","2024-2024","7","6","2","146","51*","36.50","103","141.74","0","1","0","6","10"
"SP Khajuria","J + K","2024-2024","7","6","1","146","85*","29.20","106","137.73","0","1","0","17","4"
"MJ Dagar","HP","2024-2024","7","5","1","146","65","36.50","108","135.18","0","1","0","16","4"
"P Dogra","J + K","2024-2024","6","5","1","146","63*","36.50","126","115.87","0","1","0","15","6"
"PK Kumar","JHK","2024-2024","7","6","2","145","56","36.25","95","152.63","0","1","2","11","9"
"KR Pathak","SVCS","2024-2024","6","6","0","141","63","23.50","87","162.06","0","1","0","15","7"
"Jay Gohil","SAU","2024-2024","8","8","3","139","53","27.80","72","193.05","0","1","0","10","12"
"AV Wankhade","VIDAR","2024-2024","6","5","2","139","72","46.33","79","175.94","0","2","0","5","12"
"Abdul Samad","J + K","2024-2024","7","6","1","139","74*","27.80","92","151.08","0","1","0","11","8"
"CD Bist","NAGA","2024-2024","6","6","0","139","63","23.16","115","120.86","0","1","0","12","6"
"Mandeep Singh","TPURA","2024-2024","7","7","3","138","66*","34.50","103","133.98","0","2","0","10","3"
"AS Roy","JHK","2024-2024","7","5","0","137","91","27.40","83","165.06","0","1","0","12","9"
"Pardeep Yadav","CHD","2024-2024","7","6","1","137","64","27.40","86","159.30","0","1","0","9","9"
"M Shahrukh Khan","TN","2024-2024","7","6","0","137","39","22.83","103","133.00","0","0","1","8","8"
"SV Samson","KER","2024-2024","5","5","0","136","75","27.20","91","149.45","0","1","0","19","5"
"KH Pandya","BRODA","2024-2024","9","7","0","136","45","19.42","113","120.35","0","0","1","12","3"
"JM Sharma","VIDAR","2024-2024","6","6","2","135","38","33.75","60","225.00","0","0","0","11","7"
"BV Kumar","TN","2024-2024","6","6","1","135","65","27.00","93","145.16","0","1","1","12","6"
"SB Dubey","VIDAR","2024-2024","6","4","2","134","52*","67.00","74","181.08","0","1","0","9","8"
"AR Patel","GUJ","2024-2024","7","5","3","134","56*","67.00","78","171.79","0","1","1","5","10"
"Sameer Rizvi","UP","2024-2024","9","8","3","134","36*","26.80","98","136.73","0","0","0","11","5"
"AR Bawne","MAHA","2024-2024","4","4","1","132","73*","44.00","91","145.05","0","2","0","17","3"
"Naman Dhir","PNJB","2024-2024","7","6","0","132","41","22.00","93","141.93","0","0","0","13","4"
"SA Yadav","MUM","2024-2024","5","5","0","132","70","26.40","100","132.00","0","1","0","12","7"
"Suryansh Shedge","MUM","2024-2024","9","9","6","131","36*","43.66","52","251.92","0","0","1","7","13"
"Shubham Arora","HP","2024-2024","4","4","1","131","72*","43.66","112","116.96","0","1","0","13","3"
"HP Gawli","MP","2024-2024","5","5","0","130","51","26.00","99","131.31","0","1","0","10","6"
"MB Murasingh","TPURA","2024-2024","7","5","0","129","51","25.80","85","151.76","0","1","0","9","7"
"J Anderson","MIZO","2024-2024","7","7","0","124","37","17.71","115","107.82","0","0","1","18","1"
"RD Gaikwad","MAHA","2024-2024","5","5","1","123","97","30.75","68","180.88","0","1","0","8","9"
"RA Tripathi","MAHA","2024-2024","6","6","0","123","44","20.50","85","144.70","0","0","0","12","3"
"M Kaushik","UP","2024-2024","7","7","1","123","50","20.50","123","100.00","0","1","1","13","5"
"Tarang Gohel","SAU","2024-2024","8","8","0","117","40","14.62","59","198.30","0","0","2","16","7"
"MK Pandey","KNTKA","2024-2024","5","5","1","117","42","29.25","69","169.56","0","0","0","12","6"
"MK Mahale","VIDAR","2024-2024","6","6","2","117","39","29.25","86","136.04","0","0","0","8","5"
"SL Terang","NAGA","2024-2024","5","5","1","117","59*","29.25","133","87.96","0","1","0","11","2"
"IP Gadekar","GOA","2024-2024","5","5","1","115","45*","28.75","63","182.53","0","0","1","11","8"
"RS Paliwal","SVCS","2024-2024","4","4","0","115","40","28.75","65","176.92","0","0","0","17","3"
"RR Buddhi","HYD","2024-2024","7","5","0","114","30","22.80","90","126.66","0","0","0","9","5"
"N Johnson Singh","MNPR","2024-2024","7","7","0","114","39","16.28","111","102.70","0","0","1","17","0"
"K Kushagra","JHK","2024-2024","7","6","1","111","55*","22.20","77","144.15","0","1","0","5","8"
"N Rana","UP","2024-2024","9","9","1","111","61","13.87","97","114.43","0","1","1","7","7"
"AV Rajput","BRODA","2024-2024","5","5","0","110","53","22.00","74","148.64","0","1","0","11","7"
"RR Singh","MNPR","2024-2024","7","7","0","110","30","15.71","81","135.80","0","0","0","8","5"
"AG Tiwary","CGR","2024-2024","2","2","0","109","98","54.50","73","149.31","0","1","0","7","7"
"SM Jain","ASSAM","2024-2024","6","6","1","109","51","21.80","82","132.92","0","1","2","5","7"
"VK Singh","GOA","2024-2024","6","5","3","108","47*","54.00","64","168.75","0","0","1","11","5"
"NS Naik","MAHA","2024-2024","5","4","0","107","47","26.75","79","135.44","0","0","0","6","6"
"Jaskirat Singh","MEGHA","2024-2024","6","6","0","107","68","17.83","99","108.08","0","1","1","8","3"
"A Manohar","KNTKA","2024-2024","6","5","3","106","56*","53.00","72","147.22","0","1","1","1","10"
"Yuvraj Singh","HRYNA","2024-2024","2","2","1","105","82*","105.00","76","138.15","0","1","0","9","3"
"S Hegde","KNTKA","2024-2024","6","4","1","103","43","34.33","53","194.33","0","0","0","4","9"
"Swapnil Singh","UKHND","2024-2024","7","6","2","102","44*","25.50","71","143.66","0","0","0","10","3"
"Shashank Singh","CGR","2024-2024","5","5","0","102","36","20.40","77","132.46","0","0","0","6","4"
"Mayank Rawat","DELHI","2024-2024","9","6","3","102","29*","34.00","82","124.39","0","0","0","7","4"
"Sachin Baby","KER","2024-2024","4","4","3","101","48*","101.00","64","157.81","0","0","0","11","3"
"AR Kalsi","HP","2024-2024","4","4","0","101","57","25.25","97","104.12","0","1","0","10","0"
"CS Jani","SAU","2024-2024","8","4","3","100","80*","100.00","60","166.66","0","1","0","10","4"
"AA Sheth","BRODA","2024-2024","9","7","3","100","29","25.00","68","147.05","0","0","1","8","6"
"AA Loharuka","BIHAR","2024-2024","6","6","0","99","25","16.50","80","123.75","0","0","0","11","4"
"BK Saurabh","BIHAR","2024-2024","6","6","1","98","51*","19.60","70","140.00","0","1","1","4","8"
"V Dhankhar","SVCS","2024-2024","5","5","0","98","51","19.60","75","130.66","0","1","2","9","5"
"N Lamichaney","SIKM","2024-2024","7","7","1","98","55*","16.33","129","75.96","0","1","3","10","1"
