Player_Name,Team_x,Type,Base,Final_Price
finn allen,-,BAT,2,Unsold
dewald brevis,-,BAT,0.75,Unsold
ben duckett,-,BAT,2,Unsold
manish pandey,KKR,BAT,0.75,0.75
rilee rossouw,-,BAT,2,TBA
sherfane rutherford,GT,BAT,1.5,2.6
ashton turner,-,BAT,1,TBA
james vince,-,BAT,2,TBA
shahbaz ahmed,LSG,AR,1,2.4
moeen ali,KKR,AR,2,2
tim david,RCB,AR,2,3
deepak hooda,CSK,AR,0.75,1.7
will jacks,MI,AR,2,5.25
azmatullah omarzai,PBKS,AR,1.5,2.4
sai kishore,GT,AR,0.75,2
romario shepherd,RCB,AR,1.5,1.5
tom banton,-,BAT,2,TBA
sam billings,-,BAT,1.5,TBA
jordan cox,-,BAT,1.25,TBA
ben mcdermott,-,BAT,0.75,TBA
kusal mendis,-,BAT,0.75,TBA
kusal perera,-,BAT,0.75,TBA
josh philippe,-,BAT,0.75,Unsold
tim seifert,-,BAT,1.25,TBA
nandre burger,-,BOWL,1.25,TBA
spencer johnson,KKR,BOWL,2,2.8
umran malik,KKR,BOWL,0.75,0.75
mustafizur rahman,-,BOWL,2,Unsold
ishant sharma,GT,BOWL,0.75,0.75
nuwan thushara,RCB,BOWL,0.75,1.6
naveen-ul-haq,-,BOWL,2,Unsold
jaydev unadkat,SRH,BOWL,1,1
umesh yadav,-,BOWL,2,Unsold
rishad hossain,-,BOWL,0.75,Unsold
zahir khan,-,BOWL,0.75,TBA
nqabayomzi peter,-,BOWL,0.75,TBA
tanveer sangha,-,BOWL,0.75,TBA
tabraiz shamsi,-,BOWL,2,TBA
jeffrey vandersay,-,BOWL,0.75,TBA
sachin baby,SRH,BAT,0.3,0.3
priyam garg,-,BAT,0.3,TBA
harnoor singh,PBKS,BAT,0.3,0.3
r smaran,-,BAT,0.3,TBA
shashwat rawat,-,BAT,0.3,TBA
c andre siddarth,CSK,BAT,0.3,0.3
avneesh sudha,-,BAT,0.3,TBA
apoorv wankhade,-,BAT,0.3,TBA
yudhvir singh,RR,AR,0.3,0.35
rishi dhawan,-,AR,0.3,Unsold
rajvardhan hangargekar,LSG,AR,0.3,0.3
tanush kotian,-,AR,0.3,Unsold
arshin kulkarni,LSG,AR,0.3,0.3
shams mulani,-,AR,0.3,TBA
shivam singh,-,AR,0.3,Unsold
lalit yadav,-,AR,0.3,TBA
mohammed azharuddeen,-,BAT,0.3,TBA
lr chethan,-,BAT,0.3,Unsold
aryaman singh,-,BAT,0.3,TBA
urvil patel,-,BAT,0.3,TBA
sanskar rawat,-,BAT,0.3,TBA
bipin saurabh,-,BAT,0.3,TBA
tanay thyagarajan,-,BAT,0.3,TBA
money grewal,-,BOWL,0.3,TBA
ashwani kumar,MI,BOWL,0.3,0.3
ishan porel,-,BOWL,0.3,TBA
abhilash shetty,-,BOWL,0.3,TBA
akash singh,LSG,BOWL,0.3,0.3
gurjapneet singh,CSK,BOWL,0.3,2.2
basil thampi,-,BOWL,0.3,TBA
murugan ashwin,-,BOWL,0.3,Unsold
shreyas chavan,-,BOWL,0.3,TBA
chintal gandhi,-,BOWL,0.3,TBA
raghav goyal,-,BOWL,0.3,Unsold
jagadeesha suchith,-,BOWL,0.3,TBA
roshan waghsare,-,BOWL,0.3,TBA
bailapudi yeswanth,-,BOWL,0.3,Unsold
sediqullah atal,-,BAT,0.75,TBA
matthew breetzke,LSG,BAT,0.75,0.75
mark chapman,-,BAT,1.5,TBA
brandon king,-,BAT,0.75,Unsold
evin lewis,-,BAT,2,TBA
pathum nissanka,-,BAT,0.75,Unsold
bhanuka rajapaksa,-,BAT,0.75,TBA
steven smith,-,BAT,2,Unsold
gus atkinson,-,AR,2,Unsold
tom curran,-,AR,2,TBA
krishnappa gowtham,-,AR,1,TBA
mohammad nabi,-,AR,1.5,TBA
gulbadin naib,-,AR,1,TBA
sikandar raza,-,AR,1.25,Unsold
mitchell santner,MI,AR,2,2
jayant yadav,GT,AR,0.75,0.75
johnson charles,-,BAT,0.75,TBA
litton das,-,BAT,0.75,TBA
andre fletcher,-,BAT,0.75,TBA
tom latham,-,BAT,1.5,Unsold
ollie pope,-,BAT,0.75,TBA
kyle verreynne,-,BAT,0.75,TBA
fazalhaq farooqi,RR,BOWL,2,2
richard gleeson,-,BOWL,0.75,Unsold
matt henry,-,BOWL,2,TBA
alzarri joseph,-,BOWL,2,Unsold
kwena maphaka,RR,BOWL,0.75,1.5
kuldeep sen,PBKS,BOWL,0.75,0.8
reece topley,MI,BOWL,0.75,0.75
lizaad williams,MI,BOWL,0.75,0.75
luke wood,-,BOWL,0.75,Unsold
sachin dhas,-,BAT,0.3,Unsold
leus du plooy,-,BAT,0.5,Unsold
ashwin hebbar,-,BAT,0.3,TBA
rohan  kunnummal,-,BAT,0.3,TBA
ayush pandey,-,BAT,0.3,TBA
akshat raghuwanshi,-,BAT,0.3,TBA
shoun roger,-,BAT,0.4,TBA
virat singh,-,BAT,0.3,TBA
priyansh arya,PBKS,AR,0.3,3.8
manoj bhandage,RCB,AR,0.3,0.3
praveen dubey,PBKS,AR,0.3,0.3
ajay mandal,DC,AR,0.3,0.3
prerak mankad,-,AR,0.3,TBA
vipraj nigam,DC,AR,0.3,0.5
vicky ostwal,-,AR,0.3,TBA
shivalik sharma,-,AR,0.3,Unsold
salil arora,-,BAT,0.3,TBA
dinesh bana,-,BAT,0.3,TBA
guruswamy ajitesh,-,BAT,0.3,TBA
narayan jagadeesan,-,BAT,0.3,TBA
krishnan shrijith,MI,BAT,0.3,0.3
michael pepper,-,BAT,0.5,TBA
vishnu solanki,-,BAT,0.3,TBA
km asif,-,BOWL,0.3,TBA
akhil chaudhary,-,BOWL,0.3,TBA
himanshu chauhan,-,BOWL,0.3,TBA
arpit guleria,-,BOWL,0.3,Unsold
